sample_rank,sample_index,predicted_probability,actual_label,intercept,term_name,term_value,score_contribution,abs_score_contribution,direction,business_readable_interpretation
1,0,0.22652720855147065,0,-1.120141687112042,level_distinct_ipaddress_count_1h,0.0,-7.1157317943450645e-06,7.1157317943450645e-06,decreases_churn,"For this case, level_distinct_ipaddress_count_1h=0.0 decreases_churn."
1,0,0.22652720855147065,0,-1.120141687112042,level_distinct_proxy_count_1h,0.0,-0.10296169702195118,0.10296169702195118,decreases_churn,"For this case, level_distinct_proxy_count_1h=0.0 decreases_churn."
1,0,0.22652720855147065,0,-1.120141687112042,level_rxlevel_avg_1h,-23.187,-0.01301626907327632,0.01301626907327632,decreases_churn,"For this case, level_rxlevel_avg_1h=-23.187 decreases_churn."
1,0,0.22652720855147065,0,-1.120141687112042,level_rxlevel_range_1h,0.0,-0.00019239996084243472,0.00019239996084243472,decreases_churn,"For this case, level_rxlevel_range_1h=0.0 decreases_churn."
1,0,0.22652720855147065,0,-1.120141687112042,gateway_cpu_avg_1h,11.0,0.007567872541274358,0.007567872541274358,increases_churn,"For this case, gateway_cpu_avg_1h=11.0 increases_churn."
1,0,0.22652720855147065,0,-1.120141687112042,gateway_memory_utilization_avg_1h,2.4549699590236054e-08,-0.07655427235325526,0.07655427235325526,decreases_churn,"For this case, gateway_memory_utilization_avg_1h=2.4549699590236054e-08 decreases_churn."
1,0,0.22652720855147065,0,-1.120141687112042,gateway_temperature_avg_1h,50.0,-0.0041339397203385845,0.0041339397203385845,decreases_churn,"For this case, gateway_temperature_avg_1h=50.0 decreases_churn."
1,0,0.22652720855147065,0,-1.120141687112042,gateway_client_associations_sum_1h,2.0,0.024907755799653077,0.024907755799653077,increases_churn,"For this case, gateway_client_associations_sum_1h=2.0 increases_churn."
1,0,0.22652720855147065,0,-1.120141687112042,gateway_band_steering_requests_sum_1h,0.0,0.0007749256732181091,0.0007749256732181091,increases_churn,"For this case, gateway_band_steering_requests_sum_1h=0.0 increases_churn."
1,0,0.22652720855147065,0,-1.120141687112042,gateway_band_steering_no_response_sum_1h,0.0,-0.013141153813641029,0.013141153813641029,decreases_churn,"For this case, gateway_band_steering_no_response_sum_1h=0.0 decreases_churn."
1,0,0.22652720855147065,0,-1.120141687112042,gateway_ap_steering_requests_sum_1h,0.0,0.0008375048359127569,0.0008375048359127569,increases_churn,"For this case, gateway_ap_steering_requests_sum_1h=0.0 increases_churn."
1,0,0.22652720855147065,0,-1.120141687112042,gateway_ap_steering_no_response_sum_1h,0.0,-0.0011825037967700591,0.0011825037967700591,decreases_churn,"For this case, gateway_ap_steering_no_response_sum_1h=0.0 decreases_churn."
1,0,0.22652720855147065,0,-1.120141687112042,gateway_band_steering_succ_rate_avg_1h,100.0,-0.001597368059416025,0.001597368059416025,decreases_churn,"For this case, gateway_band_steering_succ_rate_avg_1h=100.0 decreases_churn."
1,0,0.22652720855147065,0,-1.120141687112042,gateway_ap_steering_succ_rate_avg_1h,100.0,6.742440982528885e-05,6.742440982528885e-05,increases_churn,"For this case, gateway_ap_steering_succ_rate_avg_1h=100.0 increases_churn."
1,0,0.22652720855147065,0,-1.120141687112042,gateway_tx_op_band_avg_1h,82.0,0.0018989844826942182,0.0018989844826942182,increases_churn,"For this case, gateway_tx_op_band_avg_1h=82.0 increases_churn."
1,0,0.22652720855147065,0,-1.120141687112042,gateway_noise_band_avg_1h,-93.5,0.050780579448625185,0.050780579448625185,increases_churn,"For this case, gateway_noise_band_avg_1h=-93.5 increases_churn."
1,0,0.22652720855147065,0,-1.120141687112042,gateway_channel_automatic_change_24_sum_1h,0.0,-0.0009525924377952879,0.0009525924377952879,decreases_churn,"For this case, gateway_channel_automatic_change_24_sum_1h=0.0 decreases_churn."
1,0,0.22652720855147065,0,-1.120141687112042,extender_device_count_1h,0.0,-0.011157515457418221,0.011157515457418221,decreases_churn,"For this case, extender_device_count_1h=0.0 decreases_churn."
1,0,0.22652720855147065,0,-1.120141687112042,has_extender,0.0,-0.002586869016689807,0.002586869016689807,decreases_churn,"For this case, has_extender=0.0 decreases_churn."
1,0,0.22652720855147065,0,-1.120141687112042,has_wireless_backhaul,0.0,0.0011066406886552384,0.0011066406886552384,increases_churn,"For this case, has_wireless_backhaul=0.0 increases_churn."
1,0,0.22652720855147065,0,-1.120141687112042,has_eth_backhaul,0.0,0.00973940480826041,0.00973940480826041,increases_churn,"For this case, has_eth_backhaul=0.0 increases_churn."
1,0,0.22652720855147065,0,-1.120141687112042,extender_cpu_avg_1h,0.0,0.008763755168816573,0.008763755168816573,increases_churn,"For this case, extender_cpu_avg_1h=0.0 increases_churn."
1,0,0.22652720855147065,0,-1.120141687112042,extender_memory_utilization_avg_1h,0.0,0.005223970865068541,0.005223970865068541,increases_churn,"For this case, extender_memory_utilization_avg_1h=0.0 increases_churn."
1,0,0.22652720855147065,0,-1.120141687112042,extender_client_associations_sum_1h,0.0,-0.013330707968544579,0.013330707968544579,decreases_churn,"For this case, extender_client_associations_sum_1h=0.0 decreases_churn."
1,0,0.22652720855147065,0,-1.120141687112042,extender_bh_uplink_rssi_5_avg_1h,-59.0,-0.003988020457072435,0.003988020457072435,decreases_churn,"For this case, extender_bh_uplink_rssi_5_avg_1h=-59.0 decreases_churn."
1,0,0.22652720855147065,0,-1.120141687112042,extender_bh_retransmissions_rate_5_avg_1h,24.0,0.00011339295161169126,0.00011339295161169126,increases_churn,"For this case, extender_bh_retransmissions_rate_5_avg_1h=24.0 increases_churn."
